Name,Vote
"Benjamin Allen",NV
"Marie Alvarado-Gil",N
"Bob Archuleta",N
"Jesse Arreguín",Y
"Angelique Ashby",Y
"Josh Becker",Y
"Catherine Blakespear",N
"Christopher Cabaldon",Y
"Anna Caballero",Y
"Sabrina Cervantes",Y
"Steven ""Steve"" Choi",N
"Dave Cortese",NV
"Megan Dahle",Y
"Maria Elena Durazo",N
"Lena Gonzalez",Y
"Tim Grayson",Y
"Shannon Grove",Y
"Melissa Hurtado",Y
"Brian W. Jones",N
"John Laird",Y
"Monique Limón",NV
"Mike McGuire",Y
"Jerry McNerney",Y
"Caroline Menjivar",N
"Roger Niello",N
"Rosilicie Ochoa Bogh",Y
"Steve Padilla",Y
"Sasha Renée Pérez",Y
"Eloise Gómez Reyes",NV
"Laura Richardson",Y
"Susan Rubio",NV
"Kelly Seyarto",N
"Lola Smallwood-Cuevas",NV
"Henry Stern",N
"Tony Strickland",N
"Thomas Umberg",Y
"Suzette Martinez Valladares",N
"Aisha Wahab",N
"Akilah Weber Pierson",Y
"Scott Wiener",Y